Date       AdjClose
5/6/13   62.186499
5/3/13   60.738171
5/2/13   60.136159
5/1/13   59.295236
4/30/13   59.766313
4/29/13   58.057471
4/26/13   56.313533
4/25/13   55.123013
4/24/13   54.728871
4/23/13   54.819307
4/22/13   53.812361
4/19/13   52.713626
4/18/13   52.918793
4/17/13   54.369827
4/16/13   57.533752
4/15/13   56.671232
4/12/13   58.01428
4/11/13   58.625736
4/10/13   58.809309
4/9/13   57.633636
4/8/13   57.529701
4/5/13   57.123411
4/4/13   57.733519
4/3/13   58.309883
4/2/13   58.012928
4/1/13   57.894147
3/28/13   59.750119
3/27/13   61.021625
3/26/13   62.244543
3/25/13   62.573894
3/22/13   62.348478
3/21/13   61.109362
3/20/13   61.021625
3/19/13   61.346924
3/18/13   61.512955
3/15/13   59.885098
3/14/13   58.378723
3/13/13   57.818557
3/12/13   57.829355
3/11/13   59.103564
3/8/13   58.27344
3/7/13   58.119563
3/6/13   57.455462
3/5/13   58.19515
3/4/13   56.698225
3/1/13   58.104717
2/28/13   59.580044
2/27/13   60.007927
2/26/13   60.601841
2/25/13   59.769013
2/22/13   60.850202
2/21/13   60.20905
2/20/13   60.585643
2/19/13   62.089319
2/15/13   62.112264
2/14/13   62.980183
2/13/13   63.036873
2/12/13   63.157006
2/11/13   64.780814
2/8/13   64.112662
2/7/13   63.2002
2/6/13   61.375279
2/5/13   61.441035
2/4/13   59.358287
2/1/13   60.874719
1/31/13   61.125669
1/30/13   61.305494
1/29/13   61.498736
1/28/13   60.366111
1/25/13   59.030845
1/24/13   60.45602
1/23/13   68.978914
1/22/13   67.738928
1/18/13   67.098807
1/17/13   67.458458
1/16/13   67.916066
1/15/13   65.209304
1/14/13   67.333653
1/11/13   69.82302
1/10/13   70.253788
1/9/13   69.393585
1/8/13   70.495349
1/7/13   70.306128
1/4/13   70.722139
1/3/13   72.748523
1/2/13   73.67851
12/31/12   71.415941
12/28/12   68.385757
12/27/12   69.119823
12/26/12   68.843373
12/24/12   69.805568
12/21/12   69.692847
12/20/12   70.014921
12/19/12   70.629543
12/18/12   71.648106
12/17/12   69.625743
12/14/12   68.412598
12/13/12   71.08313
12/12/12   72.332512
12/11/12   72.653246
12/10/12   71.100574
12/7/12   71.560877
12/6/12   73.438297
12/5/12   72.304331
12/4/12   77.27769
12/3/12   78.6653
11/30/12   78.543176
11/29/12   79.0907
11/28/12   78.229157
11/27/12   78.476079
11/26/12   79.11352
11/23/12   76.693937
11/21/12   75.378799
11/20/12   75.272779
11/19/12   75.919615
11/16/12   70.813396
11/15/12   70.536946
11/14/12   72.048013
11/13/12   72.855884
11/12/12   72.846488
11/9/12   73.414144
11/8/12   72.164763
11/7/12   74.882267
11/6/12   77.861449
11/5/12   78.097903
11/2/12   77.05325
11/1/12   79.690266
10/31/12   79.527289
10/26/12   80.686826
10/25/12   81.4269
10/24/12   82.400752
10/23/12   81.937205
10/22/12   84.698459
10/19/12   81.466981
10/18/12   84.512773
10/17/12   86.111814
10/16/12   86.803795
10/15/12   84.795978
10/12/12   84.121362
10/11/12   83.906283
10/10/12   85.61754
10/9/12   84.94159
10/8/12   85.251513
10/5/12   87.177842
10/4/12   89.076118
10/3/12   89.697298
10/2/12   88.342723
10/1/12   88.086236
9/28/12   89.116199
9/27/12   91.01581
9/26/12   88.859705
9/25/12   89.976501
9/24/12   92.280885
9/21/12   93.523245
9/20/12   93.33756
9/19/12   93.79176
9/18/12   93.766376
9/17/12   93.481837
9/14/12   92.346343
9/13/12   91.237567
9/12/12   89.475549
9/11/12   88.246544
9/10/12   88.533752
9/7/12   90.89825
9/6/12   90.341194
9/5/12   89.534329
9/4/12   90.16753
8/31/12   88.867724
8/30/12   88.684707
8/29/12   89.967148
8/28/12   90.144821
8/27/12   90.262374
8/24/12   88.597875
8/23/12   88.519062
8/22/12   89.352645
8/21/12   87.641388
8/20/12   88.855703
8/17/12   86.57937
8/16/12   85.007047
8/15/12   84.270976
8/14/12   84.385868
8/13/12   84.160101
8/10/12   83.051325
8/9/12   82.921744
8/8/12   82.45152
8/7/12   82.591188
8/6/12   82.809333
8/3/12   81.898173
8/2/12   80.846009
8/1/12   80.715654
7/31/12   81.241068
7/30/12   79.148724
7/27/12   77.83585
7/26/12   76.468446
7/25/12   76.480416
7/24/12   79.932186
7/23/12   80.319267
7/20/12   80.381788
7/19/12   81.71461
7/18/12   80.642499
7/17/12   80.732945
7/16/12   80.728959
7/13/12   80.470905
7/12/12   79.663497
7/11/12   80.399078
7/10/12   80.901881
7/9/12   81.65741
7/6/12   80.591948
7/5/12   81.131996
7/3/12   79.731332
7/2/12   78.814851
6/29/12   77.681554
6/28/12   75.692955
6/27/12   76.417895
6/26/12   76.089349
6/25/12   75.921748
6/22/12   77.428821
6/21/12   76.839557
6/20/12   77.912997
6/19/12   78.135141
6/18/12   77.918318
6/15/12   76.368679
6/14/12   76.022836
6/13/12   76.10664
6/12/12   76.638703
6/11/12   75.974949
6/8/12   77.19205
6/7/12   76.048111
6/6/12   76.01353
6/5/12   74.865599
6/4/12   75.059797
6/1/12   74.620843
5/31/12   76.847542
5/30/12   77.039083
5/29/12   76.121267
5/25/12   74.793765
5/24/12   75.196809
5/23/12   75.893809
5/22/12   74.086123
5/21/12   74.659417
5/18/12   70.549214
5/17/12   70.514632
5/16/12   72.637572
5/15/12   73.580657
5/14/12   74.252389
5/11/12   75.3817
5/10/12   75.888488
5/9/12   75.710253
5/8/12   75.577233
5/7/12   75.750155
5/4/12   75.187495
5/3/12   77.391575
5/2/12   77.944922
5/1/12   77.432813
4/30/12   77.67889
4/27/12   80.208866
4/26/12   80.834039
4/25/12   81.13998
4/24/12   74.526405
4/23/12   76.045448
4/20/12   76.215712
4/19/12   78.139127
4/18/12   80.919172
4/17/12   81.100071
4/16/12   77.166782
4/13/12   80.505487
4/12/12   82.838594
4/11/12   83.294845
4/10/12   83.592801
4/9/12   84.628996
4/5/12   84.289802
4/4/12   83.04344
4/3/12   83.709851
4/2/12   82.287911
3/30/12   79.749958
3/29/12   81.121354
3/28/12   82.153563
3/27/12   81.735893
3/26/12   80.738265
3/23/12   79.284401
3/22/12   79.722026
3/21/12   80.142353
3/20/12   80.602589
3/19/12   79.956133
3/16/12   77.890386
3/15/12   77.889057
3/14/12   78.423785
3/13/12   75.566592
3/12/12   73.425026
